X1,X2,X3
100.012,1.32438,0.221858
89.9839,1.99502,0.0699115
15.0274,-0.518964,0.740378
50.0746,-1.35165,0.680252
 80.156,-3.33489, -0.00354318
100.012,1.32438,0.221858
109.973,2.66206,0.0244109
50.1724,-4.33219,-0.0652504
40.0778,-1.66581,-0.0667507
89.9848,1.98748,0.369815
100.011,1.33695, -0.277582
90.1167,-1.99897,-0.131013
50.0075,0.650875,0.560784
10.0946,-2.66638,0.0015003
10.2621,-7.67081,0.225192
110.007,1.65539,0.299075
90.0828,-0.994826,-0.305309
200.121,-0.323465,-0.63158
 10.061,-1.66498,-0.0632317
 60.134,-3.00331,0.0871902
